,category,product_url,product_name,model_no,brand,MRP,offer_price,save_percentage,EMI,delivery,warranty,return_policy
55,television,https://www.snapdeal.com/product/lg-32lk628bptf-80-cm-hd/664373719300#bcrumbLabelId:64,LG 32LK628BPTF 80 cm ( ) HD Ready (HDR) LED Television,32LK628BPTF,LG,"MRP  Rs. 38,990  (Inclusive of all taxes)",Rs. 28347,27% OFF,EMI starts at Rs. 1347 /month.,Generally delivered in 5 - 9 days,1,7 Days Easy Returns
56,television,https://www.snapdeal.com/product/destine-destine-42smart-10668-cm/646123617850,destine DS-42-SM-21 106.68 cm ( 42 ) Ultra HD (4K) LED Television With 1+1 Year Extended Warranty,DS-42-SM-21,destine,"MRP  Rs. 29,500  (Inclusive of all taxes)",Rs. 20841,29% OFF,EMI starts at Rs. 990 /month.,Generally delivered in 9 - 13 days,1,7 Days Easy Returns
57,television,https://www.snapdeal.com/product/electrino-gee17hdr-43-cm-17/635157469841,electrino GEE17HDR 43 cm ( 17 ) HD Ready (HDR) LED Television,GEE17HDR,electrino,"MRP  Rs. 11,000  (Inclusive of all taxes)",Rs. 4999,55% OFF,Null,Generally delivered in 5 - 9 days,1,7 Days Easy Returns
58,television,https://www.snapdeal.com/product/electrino-gee24hdr-61-cm-24/640576601825,electrino GEE24HDR 61 cm ( 24 ) HD Ready (HDR) LED Television,GEE24HDR,electrino,"MRP  Rs. 20,000  (Inclusive of all taxes)",Rs. 10400,48% OFF,EMI starts at Rs. 494 /month.,Generally delivered in 5 - 9 days,1,7 Days Easy Returns
59,television,https://www.snapdeal.com/product/lloyd-tv-l39fn-99-cm/632428781587,LLOYD TV L39FN 99 cm ( 39 ) HD Ready (HDR) LED Television,L39FN,LLOYD TV,"MRP  Rs. 32,990  (Inclusive of all taxes)",Rs. 25000,24% OFF,EMI starts at Rs. 1188 /month.,Generally delivered in 6 - 9 days,1,7 Days Easy Returns
60,television,https://www.snapdeal.com/product/bravieo-50j6500b-2k-dislay-124/626553434471,Bravieo 50j6500B 2K Dislay 124 cm ( 50 ) Smart Full HD (FHD) LED Television With 1+2 Year Extended Warranty,50j6500B 2K Dislay,Bravieo,"MRP  Rs. 69,000  (Inclusive of all taxes)",Rs. 44000,36% OFF,EMI starts at Rs. 2091 /month.,Generally delivered in 7 - 11 days,1,7 Days Easy Returns
61,television,https://www.snapdeal.com/product/destine-destine-40smart-1016-cm/671311014645#bcrumbLabelId:64,destine destine 40smart 101.6 cm ( 40 ) Ultra HD (4K) LED Television,destine 40smart,destine,"MRP  Rs. 31,000  (Inclusive of all taxes)",Rs. 18999,39% OFF,EMI starts at Rs. 903 /month.,Generally delivered in 9 - 13 days,1,7 Days Easy Returns
62,television,https://www.snapdeal.com/product/lloyd-l49fn2s-123-cm-49/621450761990,Lloyd L49FN2S 123 cm ( 49 ) Full HD (FHD) LED Television,L49FN2S,Lloyd,"MRP  Rs. 59,990  (Inclusive of all taxes)",Rs. 41899,30% OFF,EMI starts at Rs. 1991 /month.,Generally delivered in 6 - 9 days,3,7 Days Easy Returns
63,television,https://www.snapdeal.com/product/haier-le55b9500u-139-cm-55/627977555293#bcrumbLabelId:64,Haier LE55B9500U 139 cm ( 55 ) Ultra HD (4K) LED Television,LE55B9500U,Haier,"MRP  Rs. 69,990  (Inclusive of all taxes)",Rs. 53490,24% OFF,EMI starts at Rs. 2543 /month.,Generally delivered in 9 - 13 days,1,7 Days Easy Returns
64,television,https://www.snapdeal.com/product/destine-43smfl1-black-108-cm/669417433446#bcrumbLabelId:64,destine 43-SM-FL-1 (Black) 108 cm ( 43 ) Smart HD Ready (HDR) LED Television With 1+1 Year Extended Warranty,43-SM-FL-1 (Black),destine,"MRP  Rs. 32,000  (Inclusive of all taxes)",Rs. 19939,38% OFF,EMI starts at Rs. 947 /month.,Generally delivered in 9 - 13 days,1,7 Days Easy Returns
