,category_link,prod_link,prod_name,stars,ratings_reviews,offer_price,prod_mrp,discount,currency,cashback,promocode,cashback_more,product_code,model_id,warranty,seller_name
31,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/ifb-6-5-kg-fully-automatic-top-load-washing-machine-tl65-rcsg-grey-CMPLXLARIFB-6-5-KG-FDUMM20256BD05A39E-pdp?product_id=327602777&sid=a85ff566-fde9-412b-a564-727b565333bc&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C3%7Cdemographics_location%23NA&get_review_id=271421865&site_id=2&child_site_id=6,"IFB 6.5 kg Fully Automatic Top Load Washing machine - TL65-RCSG , Grey",Null,Null,"19,999",22000,9%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARIFB-6-5-KG-FFAIR2354069CA0E62,TL65-RCSG,4 Years Manufacturer Warranty for Product & 10 Years for Spare Parts,Fair Price Shop
32,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/hafele-6-kg-fully-automatic-front-load-washing-machine-hnka0890-white-CMPLXLARHAFELE-MARINDUMM20256E975C175-pdp?product_id=337095699&sid=a85ff566-fde9-412b-a564-727b565333bc&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C4%7Cdemographics_location%23NA&get_review_id=337095700&site_id=2&child_site_id=6,"Hafele 6 Kg Fully Automatic Front Load Washing machine - HNKA0890 , White",Null,Null,"22,499",34990,36%,INR,1125,FESTIVE5,Get Flat 5% cashback up to Rs.4000 on orders above Rs.449. Conditions Apply!,LARHAFELE-MARINPRIM1103257E975C175,HNKA0890,Null,Hafele Authorised Seller
33,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/samsung-7-kg-fully-automatic-top-load-washer-with-dryer-wt70m3200hb-grey-CMPLXLARSAMSUNG-7-0-DUMM20256AD9AA4F6-pdp?product_id=332938452&sid=a85ff566-fde9-412b-a564-727b565333bc&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C5%7Cdemographics_location%23NA&get_review_id=332938453&site_id=2&child_site_id=6,"Samsung 7 kg Fully Automatic Top Load Washer with dryer - WT70M3200HB , Grey",Null,Null,"10,700",12400,14%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARSAMSUNG-7-0-NOID74113AD9AA4F6,WT70M3200HB,3 years manufacturer warranty for product and 10 years for motor,Noida Direct
34,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/dvizio-8-5-kg-semi-automatic-top-load-washer-with-dryer-we-8502-ss-white-sky-blue-CMPLXLARDVIZIO-8-5-KWALI115102570D213C8-pdp?product_id=333755010&sid=a85ff566-fde9-412b-a564-727b565333bc&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C6%7Cdemographics_location%23NA&get_review_id=333755012&site_id=2&child_site_id=6,"DVIZIO 8.5 kg Semi Automatic Top Load Washing machine - WE-8502 SS , White & Sky blue",Null,Null,"9,190",16990,46%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARDVIZIO-8-5-KWALI115102570D213C8,WE-8502 SS,2 years manufacturer warranty for product and 5 years for motor,DVIZIO Authorised Seller
35,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/croma-7-kg-fully-automatic-top-load-washer-with-dryer-craw1401-grey-CMPLXLARCROMA-7-KG-FDUMM202568F792499-pdp?product_id=332404537&sid=a85ff566-fde9-412b-a564-727b565333bc&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C7%7Cdemographics_location%23NA&get_review_id=332404553&site_id=2&child_site_id=6,"Croma 7 kg Fully Automatic Top Load Washer with dryer - CRAW1401 , Grey",1/5,1 Ratings,"15,990",25000,36%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARCROMA-7-KG-FINFI46128FFAD2DB5,CRAW1401,1 year manufacturer warranty,Croma Authorised Seller
36,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/onida-6-5-kg-top-load-washer-only-ws65wlpt1-LARONIDA-6-5-KGBEST572806704DB9-pdp?sid=a85ff566-fde9-412b-a564-727b565333bc&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C8%7Cdemographics_location%23NA&get_review_id=195228852&site_id=2&child_site_id=6,"Onida 6.5 kg Semi Automatic Top Load Washer only - LILIPUT , Lava red",Null,Null,"5,275",5790,9%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARONIDA-6-5-KGBEST572806704DB9,Liliput,1 year warranty on product,Best Buy Sec
37,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/bosch-6-5-kg-semi-automatic-front-load-washing-machine-wak20267in-silver-CMPLXLARBOSCH-6-5-KGDUMM202562C6599D7-pdp?product_id=332550298&sid=a85ff566-fde9-412b-a564-727b565333bc&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C9%7Cdemographics_location%23NA&get_review_id=201315657&site_id=2&child_site_id=6,"Bosch 6.5 kg Fully Automatic Front Load Washing machine - WAK20267IN , Silver",4/5,2 Ratings,"32,090",35299,9%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARBOSCH-6-5-KGMR-S1131703CB9927A9,WAK20267IN,2 Year Manufacturer Warranty,MR Surya Electronics
38,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/haier-8-kg-top-loading-semi-automatic-washing-machine-htw-80-1159-CMPLXLARHAIER-8-KG-TBEST573027894B1F0-pdp?product_id=335130787&sid=a85ff566-fde9-412b-a564-727b565333bc&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C10%7Cdemographics_location%23NA&get_review_id=151970438&site_id=2&child_site_id=6,"Haier 8 Kg Semi Automatic Top Load Washing machine - HTW80-1159 , Cream",Null,Null,"12,250",14500,16%,INR,1850,Null,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARHAIER-8-KG-SBEST57280BCDA3E15,HTW80-1159,2 Year Refrigerator warranty And There After 3 year additional warranty on the motor from the date of purchase of the product,Best Buy Sec
39,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/whirlpool-7-5-kg-fully-automatic-top-load-washing-machine-360-bw-pro-540-h-7-5-graphite-10ymw-graphite-CMPLXLARWHIRLPOOL-7-DUMM20256B307F38E-pdp?product_id=332519532&sid=a85ff566-fde9-412b-a564-727b565333bc&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C11%7Cdemographics_location%23NA&get_review_id=329849340&site_id=2&child_site_id=6,"Whirlpool 7.5 kg Fully Automatic Top Load Washing machine - 360 BW PRO (540) H 7.5 GRAPHITE 10YMW , Graphite",Null,Null,"23,999",28500,16%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARWHIRLPOOL-7-FAIR2354082B32175,360 BW PRO (540) H 7.5 GRAPHITE 10YMW,3 years manufacturer warranty,Fair Price Shop
40,https://paytmmall.com/shop/search?q=washing%20machinr&from=organic&child_site_id=6&site_id=2&category=24836,https://paytmmall.com/lg-10-kg-semi-automatic-top-load-washer-with-dryer-p1040sraz-white-maroon-CMPLXLARLG-10-KG-SEMDUMM20256C37EF3DB-pdp?product_id=332188321&sid=7eac6482-00c7-491b-b046-740d38a10e3d&src=consumer_search&svc=-1&cid=24836&tracker=organic%7C24836%7Cwashing%20machinr%7Cgrid%7CSearch_experimentName%3Ddemographics_location%23NA%7C%7C12%7Cdemographics_location%23NA&get_review_id=328272393&site_id=2&child_site_id=6,"LG 10 kg Semi Automatic Top Load Washer with dryer - P1040SRAZ , White & Maroon",Null,Null,"15,995",17990,11%,INR,1850,MALLBONANZA,"User gets Movie voucher, Flight voucher, Paytm First voucher, Bus voucher and Big Bazaar voucher worth Rs.1,850 on orders above Rs.1849.",LARLG-10-KG-SEMVIHA10612291A5FEA5E,P1040SRAZ,2 years manufacturer warranty on product and 5 years on motor,Pioneer Appliances
